         8590582 function calls (8514298 primitive calls) in 417.705 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20002  130.402    0.007  164.782    0.008 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\equilibrium.py:15(__call__)
    10000   71.345    0.007  251.506    0.025 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\collision.py:22(__call__)
   110000   46.595    0.000   46.595    0.000 {built-in method where}
    80143   34.733    0.000   34.733    0.000 {built-in method einsum}
        1   32.079   32.079  413.888  413.888 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\simulation.py:65(step)
    40239   16.605    0.000   16.605    0.000 {built-in method sum}
    10000   15.016    0.002   27.840    0.003 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:32(__call__)
   100109   10.310    0.000   10.310    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20125    9.507    0.000   30.663    0.002 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:69(u)
    20002    8.669    0.000    8.669    0.000 {built-in method tensordot}
    80000    8.011    0.000    8.011    0.000 {built-in method roll}
    10000    7.622    0.001    7.622    0.001 {built-in method ones_like}
    10000    5.252    0.001   39.746    0.004 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:54(__call__)
    10000    2.974    0.000   25.630    0.003 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:116(__call__)
      606    2.806    0.005    4.052    0.007 C:\Users\yukar\anaconda3\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    10000    2.303    0.000   17.850    0.002 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:33(__call__)
    70142    1.129    0.000   36.986    0.001 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:102(einsum)
    80000    1.089    0.000    9.368    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:42(_stream)
150286/80143    1.029    0.000   36.094    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\functional.py:159(einsum)
     1224    1.010    0.001    1.010    0.001 {built-in method _struct.pack}
    10000    0.819    0.000    0.819    0.000 {built-in method frobenius_norm}
   150801    0.718    0.000    0.786    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
    10001    0.682    0.000    0.820    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:96(convert_pressure_to_lu)
  1206416    0.623    0.000    0.623    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
    40228    0.490    0.000   17.095    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:61(rho)
