Performance in MLUPS: 40.308956026285465
         18272627 function calls (18195332 primitive calls) in 122.344 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000   86.784    0.009   89.003    0.009 E:\BaoFile\lettuce-master\lettuce\boundary.py:116(__call__)
      606    5.676    0.009    8.116    0.013 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    80143    2.869    0.000    2.869    0.000 {built-in method einsum}
     1223    2.082    0.002    2.082    0.002 {built-in method _struct.pack}
    20002    2.025    0.000    5.642    0.000 E:\BaoFile\lettuce-master\lettuce\equilibrium.py:15(__call__)
   451801    1.748    0.000    1.916    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
  3614416    1.693    0.000    1.693    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
    10000    1.646    0.000    4.536    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:33(__call__)
       16    1.372    0.086    1.396    0.087 {built-in method tensor}
    80000    1.283    0.000    1.283    0.000 {built-in method roll}
   110000    1.261    0.000    1.261    0.000 {built-in method where}
   100109    0.885    0.000    0.885    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20002    0.838    0.000    0.838    0.000 {built-in method tensordot}
   451801    0.838    0.000    1.446    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\predicates.py:11(__call__)
   903604    0.760    0.000    1.675    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:191(_empty)
   451801    0.663    0.000    4.292    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:38(__init__)
    80000    0.655    0.000    2.090    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:42(_stream)
    10000    0.624    0.000    0.792    0.000 E:\BaoFile\lettuce-master\lettuce\boundary.py:32(__call__)
    10000    0.591    0.000    4.645    0.000 E:\BaoFile\lettuce-master\lettuce\collision.py:22(__call__)
    40239    0.558    0.000    0.558    0.000 {built-in method sum}
        1    0.470    0.470    7.983    7.983 E:\BaoFile\lettuce-master\flow2D.py:65(setPolygonObstacle)
150286/80143    0.423    0.000    3.432    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:159(einsum)
    70142    0.395    0.000    3.545    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:102(einsum)
      315    0.359    0.001    0.359    0.001 {method 'cpu' of 'torch._C._TensorBase' objects}
   903602    0.334    0.000    0.477    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\topology.py:17(_validate)
   451801    0.334    0.000    1.854    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:809(within)
   451802    0.307    0.000    1.424    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:240(_set_geom)
    10000    0.292    0.000    0.292    0.000 {built-in method frobenius_norm}
    20125    0.291    0.000    1.798    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:69(u)
    10001    0.280    0.000    0.288    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:60(convert_velocity_to_lu)
    10001    0.237    0.000    0.274    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:96(convert_pressure_to_lu)
   451802    0.226    0.000    1.367    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:208(__del__)
      782    0.225    0.000    0.225    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    40228    0.208    0.000    0.766    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:61(rho)
    10001    0.207    0.000    0.585    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:83(convert_pressure_pu_to_density_lu)
        1    0.195    0.195  112.085  112.085 E:\BaoFile\lettuce-master\lettuce\simulation.py:65(step)
2524563/2524323    0.182    0.000    0.182    0.000 {built-in method builtins.len}
  1807204    0.158    0.000    0.158    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:228(_geom)
  1266749    0.152    0.000    0.154    0.000 {built-in method builtins.isinstance}
    10000    0.132    0.000    0.132    0.000 {built-in method ones_like}
     9616    0.128    0.000    0.128    0.000 {method 'write' of '_io.BufferedWriter' objects}
    80351    0.121    0.000    0.121    0.000 {built-in method numpy.arange}
   908796    0.115    0.000    0.115    0.000 {built-in method builtins.hasattr}
    20002    0.112    0.000    0.984    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:949(tensordot)
    10000    0.092    0.000    3.968    0.000 E:\BaoFile\lettuce-master\lettuce\boundary.py:54(__call__)
   100109    0.086    0.000    0.992    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_tensor.py:25(wrapped)
   451801    0.074    0.000    0.074    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\impl.py:56(__getitem__)
      103    0.070    0.001    0.070    0.001 {built-in method io.open}
        1    0.067    0.067    0.070    0.070 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:635(__init__)
   140372    0.062    0.000    0.062    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:35(D)
   451801    0.057    0.000    0.057    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geos.py:573(errcheck_predicate)
      606    0.047    0.000    8.167    0.013 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:572(appendData)
   110145    0.047    0.000    0.072    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_VF.py:25(__getattr__)
    10000    0.046    0.000    0.352    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:1315(norm)
