Performance in MLUPS: 3.7771091059927717
         8644369 function calls (8566963 primitive calls) in 403.077 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   160000    0.041    0.000    0.041    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:25(no_stream_mask)
    10001    0.041    0.000    4.875    0.000 E:\BaoFile\lettuce-master\lettuce\reporters.py:52(__call__)
     6466    0.035    0.000    0.035    0.000 {method 'items' of 'dict' objects}
    71348    0.035    0.000    0.035    0.000 {method 'join' of 'str' objects}
        1    0.033    0.033    0.033    0.033 E:\BaoFile\lettuce-master\flow2D.py:32(setSquareObstacle)
        4    0.031    0.008    0.031    0.008 {built-in method matplotlib._image.resample}
      428    0.031    0.000    0.031    0.000 {built-in method nt.stat}
   150801    0.027    0.000    0.027    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\impl.py:56(__getitem__)
      115    0.026    0.000    0.026    0.000 {built-in method io.open_code}
    10000    0.025    0.000    0.025    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:39(Q)
    10102    0.023    0.000    0.023    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:37(characteristic_pressure_pu)
   150801    0.022    0.000    0.022    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geos.py:573(errcheck_predicate)
        1    0.021    0.021    0.021    0.021 {method 'quantize' of 'ImagingCore' objects}
    10001    0.017    0.000    0.067    0.000 E:\BaoFile\lettuce-master\lettuce\reporters.py:135(__call__)
      149    0.017    0.000    0.017    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.017    0.017    0.017    0.017 {built-in method sizeHint}
      512    0.015    0.000    0.018    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
      101    0.013    0.000    0.025    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:79(convert_density_lu_to_pressure_pu)
      115    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
      103    0.012    0.000    0.012    0.000 {method 'close' of '_io.BufferedWriter' objects}
    20002    0.011    0.000    0.011    0.000 {built-in method torch._C._has_torch_function_variadic}
        1    0.010    0.010    0.010    0.010 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:100(_create_qApp)
        3    0.009    0.003    0.037    0.012 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1311(_findfont_cached)
      101    0.009    0.000    0.010    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:93(convert_pressure_to_pu)
        2    0.009    0.004    0.009    0.004 {method 'encode' of 'ImagingEncoder' objects}
2625/2313    0.008    0.000    0.109    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2283    0.006    0.000    0.007    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1188(score_stretch)
    10000    0.006    0.000    0.006    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
     2283    0.006    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1130(score_family)
      606    0.006    0.000    4.440    0.007 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:572(appendData)
        1    0.006    0.006    0.116    0.116 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:516(__init__)
       34    0.005    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\_methods.py:106(_clip_dep_invoke_with_casting)
      201    0.005    0.000    0.005    0.000 {method 'load_glyph' of 'matplotlib.ft2font.FT2Font' objects}
       39    0.005    0.000    0.006    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    10177    0.005    0.000    0.006    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\__init__.py:653(__getitem__)
2970/1836    0.005    0.000    0.010    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:251(pdfRepr)
  499/490    0.005    0.000    0.009    0.000 {built-in method builtins.__build_class__}
      108    0.005    0.000    0.005    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
     1212    0.005    0.000    0.014    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
        1    0.005    0.005    0.028    0.028 E:\BaoFile\lettuce-master\lettuce\simulation.py:123(initialize_f_neq)
     1111    0.004    0.000    0.006    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\xml.py:115(addAttributes)
      647    0.004    0.000    0.004    0.000 {built-in method builtins.eval}
     1181    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.004    0.002    0.012    0.006 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:581(_get_pdf_charprocs)
      115    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.004    0.004    0.004    0.004 E:\BaoFile\lettuce-master\flow2D.py:46(setCylinderObstacle)
      729    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
     1376    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
5655/4485    0.003    0.000    0.006    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:290(stale)
      606    0.003    0.000    0.018    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:520(addData)
       11    0.003    0.000    0.048    0.004 E:\BaoFile\lettuce-master\lettuce\lattices.py:73(incompressible_energy)
        4    0.003    0.001    0.003    0.001 {method 'take' of 'numpy.ndarray' objects}
      448    0.003    0.000    0.010    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:1046(update)
        1    0.003    0.003  399.282  399.282 E:\BaoFile\lettuce-master\flow2D.py:136(simulationOutput)
      154    0.003    0.000    0.038    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\lines.py:722(draw)
      166    0.003    0.000    0.051    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\text.py:290(_get_layout)
      115    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.003    0.003    0.029    0.029 E:\BaoFile\lettuce-master\lettuce\simulation.py:27(__init__)
      101    0.003    0.000    4.540    0.045 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\hl.py:187(gridToVTK)
      588    0.003    0.000    0.004    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:1691(normalize_kwargs)
     1665    0.002    0.000    0.002    0.000 {built-in method numpy.asarray}
     1212    0.002    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\xml.py:57(openElement)
      101    0.002    0.000    4.545    0.045 E:\BaoFile\lettuce-master\lettuce\reporters.py:31(write_vtk)
       16    0.002    0.000    0.002    0.000 {built-in method tensor}
    10016    0.002    0.000    0.002    0.000 {built-in method torch._C._has_torch_function_unary}
     2283    0.002    0.000    0.007    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1206(score_weight)
     1271    0.002    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\fontTools\ttLib\tables\otConverters.py:139(__init__)
     1226    0.002    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\numerictypes.py:358(issubdtype)
        8    0.002    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:675(_icon)
      128    0.002    0.000    0.041    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\text.py:671(draw)
      797    0.002    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:710(__hash__)
     1212    0.002    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\xml.py:67(closeElement)
     2452    0.002    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\numerictypes.py:284(issubclass_)
        2    0.002    0.001    0.004    0.002 E:\BaoFile\lettuce-master\lettuce\util.py:36(torch_gradient)
      634    0.002    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:99(fill)
      259    0.002    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\fontTools\ttLib\tables\otConverters.py:29(buildConverters)
     1212    0.002    0.000    0.007    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\_dtype.py:307(_name_includes_bit_suffix)
      606    0.002    0.000    0.008    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:478(addHeader)
      118    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.convert_to_string}
      122    0.002    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\lines.py:647(recache)
       96    0.002    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:2580(delta)
        2    0.002    0.001    0.002    0.001 E:\BaoFile\lettuce-master\lettuce\unit.py:102(convert_length_to_lu)
      413    0.002    0.000    0.002    0.000 {method 'astype' of 'numpy.ndarray' objects}
    390/4    0.002    0.000    0.281    0.070 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:32(draw_wrapper)
     1196    0.002    0.000    0.004    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:2014(_setattr_cm)
     3863    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
       24    0.002    0.000    0.002    0.000 {method 'roll' of 'torch._C._TensorBase' objects}
     2991    0.002    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\re.py:289(_compile)
        2    0.002    0.001    0.051    0.026 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\image.py:310(_make_image)
    10183    0.002    0.000    0.002    0.000 {function RcParams.__getitem__ at 0x000001F5947B69D0}
     5393    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
      610    0.001    0.000    0.083    0.000 <__array_function__ internals>:2(ravel)
      606    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\evtk.py:57(writeBlockSize)
     2955    0.001    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\re.py:188(match)
      934    0.001    0.000    0.001    0.000 {method 'compress' of 'zlib.Compress' objects}
      104    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\ntpath.py:450(normpath)
      588    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:1730(<dictcomp>)
      610    0.001    0.000    0.080    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\fromnumeric.py:1718(ravel)
       31    0.001    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     6399    0.001    0.000    0.002    0.000 {method 'encode' of 'str' objects}
      143    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
  920/290    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:180(_invalidate_internal)
     5025    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
        2    0.001    0.001    0.013    0.006 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\colors.py:589(__call__)
        1    0.001    0.001    0.014    0.014 E:\Bao\Conda\envs\lettuce\lib\site-packages\fontTools\ttLib\tables\otTables.py:1804(_buildClasses)
      115    0.001    0.000    0.058    0.001 <frozen importlib._bootstrap_external>:916(get_code)
     9712    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1349    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
      667    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:1900(__init__)
      101    0.001    0.000    0.054    0.001 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:260(__init__)
    86/38    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\sre_parse.py:493(_parse)
       32    0.001    0.000    0.010    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\ticker.py:2052(_raw_ticks)
  342/242    0.001    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:2441(get_affine)
     5025    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\abc.py:117(__instancecheck__)
     1550    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      249    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backend_bases.py:735(__init__)
       12    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
      314    0.001    0.000    0.001    0.000 {method 'detach' of 'torch._C._TensorBase' objects}
      101    0.001    0.000    4.423    0.044 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\hl.py:80(_appendDataToFile)
       64    0.001    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\lines.py:276(__init__)
     8989    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     1152    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:1783(__init__)
      101    0.001    0.000    0.010    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\hl.py:44(_addDataToFile)
     1212    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\_dtype.py:24(_kind_name)
        1    0.001    0.001    0.001    0.001 {method 'getcolors' of 'ImagingCore' objects}
      176    0.001    0.000    0.038    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:658(__init__)
      334    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:767(__init__)
      108    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\lib\stride_tricks.py:339(_broadcast_to)
     2283    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1122(_expand_aliases)
      690    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\contextlib.py:86(__init__)
      579    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
        1    0.001    0.001    0.002    0.002 E:\BaoFile\lettuce-master\lettuce\flows\obstacle.py:67(initial_solution)
      112    0.001    0.000    0.052    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\text.py:872(get_window_extent)
        3    0.001    0.000    0.001    0.000 {built-in method cat}
  963/961    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:276(process)
     1757    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:107(__init__)
      145    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:149(__init__)
      227    0.001    0.000    0.042    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1248(findfont)
      388    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\_api\__init__.py:65(check_isinstance)
       56    0.001    0.000    0.001    0.000 {method 'flush' of 'zlib.Compress' objects}
       11    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
      369    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\transforms.py:207(set_children)
      117    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      315    0.001    0.000    0.001    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
     3137    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
    120/6    0.001    0.000    0.136    0.023 <frozen importlib._bootstrap>:1002(_find_and_load)
1728/1472    0.001    0.000    0.011    0.000 {built-in method builtins.next}
        1    0.001    0.001    0.030    0.030 E:\BaoFile\lettuce-master\flow2D.py:129(setupSimulation)
       16    0.001    0.000    0.077    0.005 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\axis.py:1040(_update_ticks)
      230    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
       31    0.001    0.000    0.013    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:2318(draw_text)
        6    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\hatch.py:182(_validate_hatch_pattern)
     5680    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:832(get_animated)
        5    0.001    0.000    0.001    0.000 {built-in method nt._getfinalpathname}
     2295    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\logging\__init__.py:1424(debug)
      259    0.001    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\text.py:162(update)
     2520    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:1799(_str_equal)
      111    0.001    0.000    0.001    0.000 E:\Bao\Conda\envs\lettuce\lib\ntpath.py:124(splitdrive)
  690/626    0.001    0.000    0.006    0.000 E:\Bao\Conda\envs\lettuce\lib\contextlib.py:123(__exit__)
