Performance in MLUPS: 34.090769059297486
         8644773 function calls (8567363 primitive calls) in 49.019 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   160000    0.025    0.000    0.025    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:25(no_stream_mask)
        1    0.024    0.024    0.024    0.024 E:\BaoFile\lettuce-master\flow2D.py:32(setSquareObstacle)
    66441    0.024    0.000    0.024    0.000 {method 'endswith' of 'str' objects}
        1    0.021    0.021    0.021    0.021 {built-in method torch._C._cuda_init}
        4    0.020    0.005    0.021    0.005 {built-in method matplotlib._image.resample}
    20125    0.020    0.000    1.130    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:65(j)
   150801    0.020    0.000    0.020    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geos.py:573(errcheck_predicate)
      115    0.020    0.000    0.020    0.000 {built-in method io.open_code}
    10102    0.018    0.000    0.027    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:41(characteristic_pressure_lu)
    71348    0.016    0.000    0.016    0.000 {method 'join' of 'str' objects}
      512    0.015    0.000    0.017    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.014    0.014    0.014    0.014 {method 'quantize' of 'ImagingCore' objects}
      149    0.014    0.000    0.014    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      115    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
        3    0.009    0.003    0.034    0.011 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1311(_findfont_cached)
      103    0.008    0.000    0.008    0.000 {method 'close' of '_io.BufferedWriter' objects}
    10001    0.008    0.000    2.892    0.000 E:\BaoFile\lettuce-master\lettuce\reporters.py:52(__call__)
    10102    0.007    0.000    0.007    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:37(characteristic_pressure_pu)
        1    0.006    0.006    0.006    0.006 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:100(_create_qApp)
        2    0.006    0.003    0.006    0.003 {method 'encode' of 'ImagingEncoder' objects}
    10000    0.006    0.000    0.006    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:39(Q)
2625/2313    0.006    0.000    0.088    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2283    0.006    0.000    0.006    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1188(score_stretch)
     2283    0.005    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1130(score_family)
    10001    0.005    0.000    0.030    0.000 E:\BaoFile\lettuce-master\lettuce\reporters.py:135(__call__)
      108    0.005    0.000    0.005    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
      201    0.004    0.000    0.004    0.000 {method 'load_glyph' of 'matplotlib.ft2font.FT2Font' objects}
  499/490    0.004    0.000    0.039    0.000 {built-in method builtins.__build_class__}
        1    0.004    0.004    0.073    0.073 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:516(__init__)
    20002    0.004    0.000    0.004    0.000 {built-in method torch._C._has_torch_function_variadic}
       34    0.004    0.000    0.004    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\_methods.py:106(_clip_dep_invoke_with_casting)
        1    0.004    0.004    0.004    0.004 {built-in method sizeHint}
    10177    0.004    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\__init__.py:653(__getitem__)
2970/1836    0.004    0.000    0.008    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:251(pdfRepr)
      606    0.004    0.000    2.722    0.004 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:572(appendData)
      729    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      647    0.004    0.000    0.004    0.000 {built-in method builtins.eval}
       39    0.004    0.000    0.004    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    10000    0.003    0.000    0.003    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
      115    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      101    0.003    0.000    0.004    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:93(convert_pressure_to_pu)
     1181    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1212    0.003    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
     1376    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
        2    0.003    0.001    0.010    0.005 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:581(_get_pdf_charprocs)
      101    0.003    0.000    0.007    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:79(convert_density_lu_to_pressure_pu)
5655/4485    0.003    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:290(stale)
     1111    0.003    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\xml.py:115(addAttributes)
        4    0.002    0.001    0.002    0.001 {method 'take' of 'numpy.ndarray' objects}
      102    0.002    0.000    0.003    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:57(convert_velocity_to_pu)
      154    0.002    0.000    0.032    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\lines.py:722(draw)
     2283    0.002    0.000    0.006    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1206(score_weight)
      606    0.002    0.000    0.011    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:520(addData)
      166    0.002    0.000    0.045    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\text.py:290(_get_layout)
      588    0.002    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:1691(normalize_kwargs)
      448    0.002    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:1046(update)
        1    0.002    0.002    0.002    0.002 E:\BaoFile\lettuce-master\flow2D.py:46(setCylinderObstacle)
    10016    0.002    0.000    0.002    0.000 {built-in method torch._C._has_torch_function_unary}
     1665    0.002    0.000    0.002    0.000 {built-in method numpy.asarray}
      797    0.002    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:710(__hash__)
      259    0.002    0.000    0.007    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\fontTools\ttLib\tables\otConverters.py:29(buildConverters)
      101    0.002    0.000    2.787    0.028 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\hl.py:187(gridToVTK)
      128    0.002    0.000    0.034    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\text.py:671(draw)
        8    0.002    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:675(_icon)
      101    0.002    0.000    2.789    0.028 E:\BaoFile\lettuce-master\lettuce\reporters.py:31(write_vtk)
      634    0.002    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:99(fill)
        1    0.002    0.002    0.012    0.012 E:\Bao\Conda\envs\lettuce\lib\site-packages\fontTools\ttLib\tables\otTables.py:1804(_buildClasses)
      122    0.002    0.000    0.008    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\lines.py:647(recache)
       96    0.002    0.000    0.004    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:2580(delta)
     1226    0.002    0.000    0.004    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\numerictypes.py:358(issubdtype)
     1212    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\xml.py:57(openElement)
     1196    0.001    0.000    0.003    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:2014(_setattr_cm)
     3863    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      690    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\contextlib.py:86(__init__)
     1212    0.001    0.000    0.002    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\xml.py:67(closeElement)
      118    0.001    0.000    0.002    0.000 {built-in method matplotlib._path.convert_to_string}
     2991    0.001    0.000    0.008    0.000 E:\Bao\Conda\envs\lettuce\lib\re.py:289(_compile)
