Performance in MLUPS: 38.56460200085427
         13472138 function calls (13394326 primitive calls) in 85.614 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6884    0.031    0.000    0.031    0.000 {method 'items' of 'dict' objects}
    20002    0.030    0.000    0.048    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:71(convert_time_to_pu)
   123004    0.029    0.000    0.030    0.000 {built-in method builtins.getattr}
      428    0.027    0.000    0.027    0.000 {built-in method nt.stat}
    66441    0.025    0.000    0.025    0.000 {method 'endswith' of 'str' objects}
        1    0.024    0.024    0.024    0.024 {built-in method torch._C._cuda_init}
    10001    0.024    0.000    5.929    0.001 E:\BaoFile\lettuce-master\lettuce\reporters.py:52(__call__)
        1    0.024    0.024    0.024    0.024 {method 'quantize' of 'ImagingCore' objects}
   160000    0.023    0.000    0.023    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:25(no_stream_mask)
    20125    0.021    0.000    1.134    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:65(j)
    10102    0.019    0.000    0.029    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:41(characteristic_pressure_lu)
      115    0.019    0.000    0.019    0.000 {built-in method io.open_code}
    71351    0.017    0.000    0.017    0.000 {method 'join' of 'str' objects}
      169    0.016    0.000    0.016    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      512    0.014    0.000    0.017    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
      115    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
      103    0.009    0.000    0.009    0.000 {method 'close' of '_io.BufferedWriter' objects}
        3    0.009    0.003    0.034    0.011 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1311(_findfont_cached)
       34    0.008    0.000    0.008    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\_methods.py:106(_clip_dep_invoke_with_casting)
        2    0.008    0.004    0.008    0.004 {method 'encode' of 'ImagingEncoder' objects}
2782/2453    0.007    0.000    0.272    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    10102    0.007    0.000    0.007    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:37(characteristic_pressure_pu)
        1    0.006    0.006    0.006    0.006 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:100(_create_qApp)
    10000    0.006    0.000    0.006    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:39(Q)
     2283    0.006    0.000    0.006    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1188(score_stretch)
     1500    0.005    0.000    0.005    0.000 {method 'copy' of 'numpy.ndarray' objects}
    10001    0.005    0.000    0.065    0.000 E:\BaoFile\lettuce-master\lettuce\reporters.py:135(__call__)
     2283    0.005    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1130(score_family)
        4    0.005    0.001    0.005    0.001 {method 'take' of 'numpy.ndarray' objects}
      221    0.005    0.000    0.005    0.000 {method 'load_glyph' of 'matplotlib.ft2font.FT2Font' objects}
      106    0.005    0.000    0.005    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.004    0.004    0.078    0.078 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:516(__init__)
        1    0.004    0.004    0.004    0.004 {built-in method sizeHint}
    10732    0.004    0.000    0.006    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\__init__.py:653(__getitem__)
  499/490    0.004    0.000    0.008    0.000 {built-in method builtins.__build_class__}
    20002    0.004    0.000    0.004    0.000 {built-in method torch._C._has_torch_function_variadic}
3226/2067    0.004    0.000    0.008    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:251(pdfRepr)
       43    0.004    0.000    0.005    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        2    0.004    0.002    0.067    0.034 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\image.py:310(_make_image)
     1276    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      729    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      647    0.003    0.000    0.004    0.000 {built-in method builtins.eval}
        1    0.003    0.003    0.003    0.003 E:\BaoFile\lettuce-master\flow2D.py:46(setCylinderObstacle)
    10000    0.003    0.000    0.003    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
      115    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      101    0.003    0.000    0.004    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:93(convert_pressure_to_pu)
     1212    0.003    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
        2    0.003    0.001    0.010    0.005 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:581(_get_pdf_charprocs)
6054/4786    0.003    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:290(stale)
     1799    0.003    0.000    0.003    0.000 {built-in method numpy.asarray}
     1111    0.003    0.000    0.004    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\xml.py:115(addAttributes)
      178    0.003    0.000    0.036    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\lines.py:722(draw)
      101    0.003    0.000    0.007    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:79(convert_density_lu_to_pressure_pu)
      190    0.002    0.000    0.048    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\text.py:290(_get_layout)
      102    0.002    0.000    0.003    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:57(convert_velocity_to_pu)
     2283    0.002    0.000    0.006    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1206(score_weight)
      629    0.002    0.000    0.004    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\cbook\__init__.py:1691(normalize_kwargs)
