Performance in MLUPS: 41.113778865005195
         23069921 function calls (22992531 primitive calls) in 159.389 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000  117.739    0.012  120.005    0.012 E:\BaoFile\lettuce-master\lettuce\boundary.py:116(__call__)
      606    7.549    0.012   10.981    0.018 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    80143    2.967    0.000    2.967    0.000 {built-in method einsum}
     1223    2.766    0.002    2.766    0.002 {built-in method _struct.pack}
   601601    2.315    0.000    2.541    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
  4812816    2.278    0.000    2.278    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
    20002    2.048    0.000    5.863    0.000 E:\BaoFile\lettuce-master\lettuce\equilibrium.py:15(__call__)
    10000    1.643    0.000    4.534    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:33(__call__)
       16    1.414    0.088    1.439    0.090 {built-in method tensor}
   110000    1.275    0.000    1.275    0.000 {built-in method where}
    80000    1.271    0.000    1.271    0.000 {built-in method roll}
   601601    1.109    0.000    1.927    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\predicates.py:11(__call__)
   100109    1.042    0.000    1.042    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
  1203204    1.012    0.000    2.225    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:191(_empty)
   601601    0.887    0.000    5.737    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:38(__init__)
    20002    0.870    0.000    0.870    0.000 {built-in method tensordot}
    80000    0.660    0.000    2.086    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:42(_stream)
        1    0.644    0.644   10.669   10.669 E:\BaoFile\lettuce-master\flow2D.py:65(setPolygonObstacle)
    10000    0.630    0.000    0.803    0.000 E:\BaoFile\lettuce-master\lettuce\boundary.py:32(__call__)
    10000    0.606    0.000    4.830    0.000 E:\BaoFile\lettuce-master\lettuce\collision.py:22(__call__)
    40239    0.563    0.000    0.563    0.000 {built-in method sum}
      315    0.485    0.002    0.485    0.002 {method 'cpu' of 'torch._C._TensorBase' objects}
      786    0.476    0.001    0.476    0.001 {method 'ravel' of 'numpy.ndarray' objects}
  1203202    0.451    0.000    0.642    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\topology.py:17(_validate)
   601601    0.429    0.000    2.456    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:809(within)
150286/80143    0.429    0.000    3.535    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:159(einsum)
   601602    0.419    0.000    1.918    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:240(_set_geom)
    70142    0.402    0.000    3.639    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:102(einsum)
   601602    0.309    0.000    1.831    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:208(__del__)
    10000    0.303    0.000    0.303    0.000 {built-in method frobenius_norm}
    20125    0.292    0.000    1.812    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:69(u)
    10001    0.232    0.000    0.268    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:96(convert_pressure_to_lu)
    10001    0.227    0.000    0.671    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:83(convert_pressure_pu_to_density_lu)
3123867/3123624    0.221    0.000    0.221    0.000 {built-in method builtins.len}
  2406404    0.215    0.000    0.215    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:228(_geom)
    40228    0.212    0.000    0.774    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:61(rho)
        1    0.211    0.211  146.326  146.326 E:\BaoFile\lettuce-master\lettuce\simulation.py:65(step)
    10001    0.204    0.000    0.212    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:60(convert_velocity_to_lu)
  1566506    0.184    0.000    0.187    0.000 {built-in method builtins.isinstance}
     9638    0.183    0.000    0.183    0.000 {method 'write' of '_io.BufferedWriter' objects}
  1208477    0.148    0.000    0.148    0.000 {built-in method builtins.hasattr}
    10000    0.132    0.000    0.132    0.000 {built-in method ones_like}
    80343    0.123    0.000    0.123    0.000 {built-in method numpy.arange}
    20002    0.112    0.000    1.017    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:949(tensordot)
   601601    0.100    0.000    0.100    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\impl.py:56(__getitem__)
    10000    0.094    0.000    4.013    0.000 E:\BaoFile\lettuce-master\lettuce\boundary.py:54(__call__)
   100109    0.088    0.000    1.152    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_tensor.py:25(wrapped)
   601601    0.078    0.000    0.078    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geos.py:573(errcheck_predicate)
   140372    0.062    0.000    0.062    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:35(D)
        1    0.061    0.061    0.064    0.064 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:635(__init__)
      606    0.059    0.000   11.043    0.018 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:572(appendData)
    11354    0.048    0.000    0.048    0.000 {built-in method numpy.array}
    10000    0.046    0.000    0.364    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:1315(norm)
   110145    0.046    0.000    0.072    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_VF.py:25(__getattr__)
      103    0.046    0.000    0.046    0.000 {built-in method io.open}
   250395    0.042    0.000    0.042    0.000 {built-in method torch._C._has_torch_function}
   140525    0.041    0.000    0.041    0.000 {method 'split' of 'str' objects}
    10001    0.038    0.000   11.504    0.001 E:\BaoFile\lettuce-master\lettuce\reporters.py:52(__call__)
        4    0.037    0.009    0.037    0.009 {built-in method matplotlib._image.resample}
    10001    0.037    0.000   11.765    0.001 E:\BaoFile\lettuce-master\lettuce\simulation.py:84(_report)
    40220    0.034    0.000    0.034    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:33(characteristic_velocity_lu)
     6464    0.032    0.000    0.032    0.000 {method 'items' of 'dict' objects}
    20002    0.030    0.000    0.047    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:71(convert_time_to_pu)
   121946    0.029    0.000    0.031    0.000 {built-in method builtins.getattr}
      428    0.027    0.000    0.027    0.000 {built-in method nt.stat}
    66441    0.026    0.000    0.026    0.000 {method 'endswith' of 'str' objects}
        1    0.025    0.025    0.025    0.025 {built-in method torch._C._cuda_init}
   160000    0.024    0.000    0.024    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:25(no_stream_mask)
    20125    0.021    0.000    1.143    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:65(j)
    10102    0.020    0.000    0.030    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:41(characteristic_pressure_lu)
      115    0.019    0.000    0.019    0.000 {built-in method io.open_code}
    71346    0.017    0.000    0.017    0.000 {method 'join' of 'str' objects}
      149    0.015    0.000    0.015    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      512    0.015    0.000    0.017    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.013    0.013    0.013    0.013 {method 'quantize' of 'ImagingCore' objects}
      115    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
