         9090997 function calls (9002635 primitive calls) in 437.179 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20002  131.341    0.007  166.793    0.008 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\equilibrium.py:15(__call__)
    10000   71.767    0.007  253.779    0.025 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\collision.py:22(__call__)
   110000   47.457    0.000   47.457    0.000 {built-in method where}
    80143   35.410    0.000   35.410    0.000 {built-in method einsum}
        1   30.087   30.087  415.245  415.245 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\simulation.py:65(step)
        2   17.109    8.554   18.211    9.105 {built-in method exec_}
    40239   16.207    0.000   16.207    0.000 {built-in method sum}
    10000   15.177    0.002   28.368    0.003 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:32(__call__)
   100109   10.974    0.000   10.974    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20125    9.446    0.000   29.911    0.001 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:69(u)
    20002    8.759    0.000    8.759    0.000 {built-in method tensordot}
    80000    8.375    0.000    8.375    0.000 {built-in method roll}
    10000    8.006    0.001    8.006    0.001 {built-in method ones_like}
    10000    4.768    0.000   40.252    0.004 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:54(__call__)
    10000    2.917    0.000   24.889    0.002 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:116(__call__)
      606    2.729    0.005    3.969    0.007 C:\Users\yukar\anaconda3\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    10000    2.342    0.000   18.375    0.002 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:33(__call__)
    70142    1.104    0.000   37.552    0.001 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:102(einsum)
    80000    1.093    0.000    9.737    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:42(_stream)
     1224    1.009    0.001    1.009    0.001 {built-in method _struct.pack}
150286/80143    0.983    0.000   36.701    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\functional.py:159(einsum)
    10000    0.815    0.000    0.815    0.000 {built-in method frobenius_norm}
   150801    0.677    0.000    0.743    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
    10001    0.657    0.000    0.791    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:96(convert_pressure_to_lu)
  1206416    0.582    0.000    0.582    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
    40228    0.474    0.000   16.680    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:61(rho)
   150801    0.340    0.000    0.568    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\predicates.py:11(__call__)
    20002    0.336    0.000    9.174    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\functional.py:949(tensordot)
   301604    0.295    0.000    0.604    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:191(_empty)
       16    0.266    0.017    0.266    0.017 {method 'take' of 'numpy.ndarray' objects}
   150801    0.262    0.000    1.625    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\point.py:38(__init__)
    10001    0.252    0.000    1.202    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:83(convert_pressure_pu_to_density_lu)
        1    0.222    0.222    3.095    3.095 C:\Users\yukar\PycharmProjects\CSCI596\flow2D.py:65(setPolygonObstacle)
    80439    0.220    0.000    0.220    0.000 {built-in method numpy.arange}
    10001    0.205    0.000    0.215    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:60(convert_velocity_to_lu)
   100109    0.203    0.000   11.218    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\_tensor.py:25(wrapped)
   140372    0.186    0.000    0.186    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:35(D)
   679964    0.176    0.000    0.183    0.000 {built-in method builtins.isinstance}
    24726    0.160    0.000    0.160    0.000 {built-in method numpy.array}
1317005/1316852    0.147    0.000    0.147    0.000 {built-in method builtins.len}
   150801    0.140    0.000    0.738    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:809(within)
    40220    0.129    0.000    0.129    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:33(characteristic_velocity_lu)
       12    0.126    0.011    0.127    0.011 {built-in method matplotlib._image.resample}
   150802    0.126    0.000    0.515    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:240(_set_geom)
   140511    0.123    0.000    0.123    0.000 {method 'split' of 'str' objects}
      893    0.122    0.000    0.122    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   301602    0.122    0.000    0.179    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\topology.py:17(_validate)
   110145    0.104    0.000    0.189    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\_VF.py:25(__getattr__)
    10001    0.102    0.000    4.734    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\simulation.py:84(_report)
     9418    0.099    0.000    0.099    0.000 {method 'write' of '_io.BufferedWriter' objects}
   150802    0.092    0.000    0.511    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:208(__del__)
   130088    0.092    0.000    0.099    0.000 {built-in method builtins.getattr}
   250395    0.083    0.000    0.083    0.000 {built-in method torch._C._has_torch_function}
    20002    0.080    0.000    0.143    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:71(convert_time_to_pu)
    64698    0.077    0.000    0.077    0.000 {method 'endswith' of 'str' objects}
    10000    0.073    0.000    0.910    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\functional.py:1315(norm)
    20125    0.073    0.000   11.689    0.001 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:65(j)
      103    0.066    0.001    0.066    0.001 {built-in method io.open}
      102    0.060    0.001    0.061    0.001 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:57(convert_velocity_to_pu)
   603204    0.059    0.000    0.059    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:228(_geom)
    10102    0.056    0.000    0.111    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:41(characteristic_pressure_lu)
   306320    0.047    0.000    0.047    0.000 {built-in method builtins.hasattr}
   160000    0.043    0.000    0.043    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:25(no_stream_mask)
    10001    0.036    0.000    4.431    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\reporters.py:52(__call__)
        2    0.036    0.018    0.037    0.019 {built-in method show}
11933/11252    0.036    0.000    0.487    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    70769    0.033    0.000    0.036    0.000 {method 'join' of 'str' objects}
   150801    0.030    0.000    0.030    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\impl.py:56(__getitem__)
     3625    0.030    0.000    0.030    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.029    0.029    0.029    0.029 C:\Users\yukar\PycharmProjects\CSCI596\flow2D.py:32(setSquareObstacle)
        2    0.026    0.013    0.026    0.013 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:96(_create_qApp)
    10000    0.025    0.000    0.025    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:39(Q)
      134    0.023    0.000    0.023    0.000 C:\Users\yukar\anaconda3\lib\site-packages\numpy\core\_methods.py:105(_clip_dep_invoke_with_casting)
    10102    0.023    0.000    0.023    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:37(characteristic_pressure_pu)
      276    0.023    0.000    0.023    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
   150801    0.023    0.000    0.023    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geos.py:573(errcheck_predicate)
      654    0.022    0.000    0.113    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\ticker.py:719(format_data_short)
        1    0.020    0.020    0.020    0.020 {method 'quantize' of 'ImagingCore' objects}
        8    0.019    0.002    0.019    0.002 {method 'copy_from_bbox' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      103    0.019    0.000    0.019    0.000 {method 'close' of '_io.BufferedWriter' objects}
     7555    0.018    0.000    0.022    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\transforms.py:207(set_children)
    10001    0.017    0.000    0.058    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\reporters.py:135(__call__)
      512    0.016    0.000    0.016    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
     1185    0.016    0.000    0.023    0.000 C:\Users\yukar\anaconda3\lib\inspect.py:2907(_bind)
5076/2545    0.016    0.000    0.061    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\transforms.py:2401(get_affine)
    14145    0.016    0.000    0.016    0.000 {method 'copy' of 'numpy.ndarray' objects}
      101    0.015    0.000    0.028    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:79(convert_density_lu_to_pressure_pu)
       74    0.015    0.000    0.016    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       16    0.013    0.001    0.014    0.001 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:699(_icon)
     8949    0.012    0.000    0.031    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\transforms.py:1867(__init__)
        8    0.012    0.001    0.012    0.001 {built-in method drawImage}
        6    0.011    0.002    0.207    0.035 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\image.py:307(_make_image)
    20002    0.011    0.000    0.011    0.000 {built-in method torch._C._has_torch_function_variadic}
    11736    0.011    0.000    0.016    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\transforms.py:1750(__init__)
        2    0.010    0.005    0.038    0.019 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:530(__init__)
      101    0.010    0.000    0.011    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:93(convert_pressure_to_pu)
     4863    0.010    0.000    0.026    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\transforms.py:2311(__init__)
        2    0.010    0.005    0.010    0.005 {built-in method sizeHint}
     2839    0.010    0.000    0.124    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\transforms.py:1447(transform)
      442    0.009    0.000    0.010    0.000 {built-in method matplotlib._path.point_in_path}
     1931    0.009    0.000    0.021    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\transforms.py:780(__init__)
    19403    0.009    0.000    0.009    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\transforms.py:107(__init__)
      417    0.009    0.000    0.009    0.000 {built-in method setText}
    16760    0.009    0.000    0.012    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\__init__.py:604(__getitem__)
        2    0.008    0.004    0.033    0.016 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\font_manager.py:1311(_findfont_cached)
        6    0.008    0.001    0.051    0.009 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\colors.py:588(__call__)
      327    0.008    0.000    0.050    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\image.py:973(get_cursor_data)
        5    0.008    0.002    0.008    0.002 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\backends\backend_agg.py:85(__init__)
      433    0.007    0.000    0.194    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\backend_bases.py:1444(__init__)
1181/1176    0.007    0.000    0.008    0.000 C:\Users\yukar\anaconda3\lib\site-packages\matplotlib\transforms.py:392(bounds)
        2    0.007    0.004    0.007    0.004 {method 'encode' of 'ImagingEncoder' objects}
