         8590547 function calls (8514263 primitive calls) in 412.078 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20002  129.670    0.006  164.998    0.008 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\equilibrium.py:15(__call__)
    10000   70.546    0.007  249.959    0.025 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\collision.py:22(__call__)
   110000   46.759    0.000   46.759    0.000 {built-in method where}
    80143   35.161    0.000   35.161    0.000 {built-in method einsum}
        1   29.816   29.816  408.376  408.376 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\simulation.py:65(step)
    40239   15.963    0.000   15.963    0.000 {built-in method sum}
    10000   14.799    0.001   27.741    0.003 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:32(__call__)
   100109   10.976    0.000   10.976    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20002    8.815    0.000    8.815    0.000 {built-in method tensordot}
    20125    8.533    0.000   28.797    0.001 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:69(u)
    10000    7.990    0.001    7.990    0.001 {built-in method ones_like}
    80000    7.421    0.000    7.421    0.000 {built-in method roll}
    10000    4.625    0.000   40.066    0.004 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:54(__call__)
    10000    2.915    0.000   24.400    0.002 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\boundary.py:116(__call__)
      606    2.704    0.004    3.919    0.006 C:\Users\yukar\anaconda3\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    10000    2.282    0.000   17.177    0.002 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:33(__call__)
    70142    1.098    0.000   37.305    0.001 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:102(einsum)
    80000    1.080    0.000    8.764    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\streaming.py:42(_stream)
150286/80143    0.998    0.000   36.461    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\functional.py:159(einsum)
     1222    0.984    0.001    0.984    0.001 {built-in method _struct.pack}
    10000    0.802    0.000    0.802    0.000 {built-in method frobenius_norm}
   150801    0.713    0.000    0.784    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
    10001    0.647    0.000    0.781    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:96(convert_pressure_to_lu)
  1206416    0.620    0.000    0.620    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
    40228    0.479    0.000   16.442    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:61(rho)
   150801    0.351    0.000    0.581    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\predicates.py:11(__call__)
    20002    0.339    0.000    9.232    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\functional.py:949(tensordot)
   301604    0.303    0.000    0.635    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:191(_empty)
   150801    0.273    0.000    1.710    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\point.py:38(__init__)
    10001    0.252    0.000    1.186    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:83(convert_pressure_pu_to_density_lu)
        1    0.226    0.226    3.219    3.219 C:\Users\yukar\PycharmProjects\CSCI596\flow2D.py:65(setPolygonObstacle)
    80343    0.213    0.000    0.213    0.000 {built-in method numpy.arange}
    10001    0.202    0.000    0.213    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:60(convert_velocity_to_lu)
   100109    0.195    0.000   11.215    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\_tensor.py:25(wrapped)
   140372    0.183    0.000    0.183    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\lattices.py:35(D)
   657340    0.171    0.000    0.173    0.000 {built-in method builtins.isinstance}
1316191/1316062    0.148    0.000    0.148    0.000 {built-in method builtins.len}
   150801    0.143    0.000    0.754    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:809(within)
    40220    0.130    0.000    0.130    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:33(characteristic_velocity_lu)
   150802    0.130    0.000    0.546    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:240(_set_geom)
      786    0.129    0.000    0.129    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    14382    0.129    0.000    0.129    0.000 {built-in method numpy.array}
   301602    0.120    0.000    0.179    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\topology.py:17(_validate)
   140468    0.119    0.000    0.119    0.000 {method 'split' of 'str' objects}
   110145    0.105    0.000    0.187    0.000 C:\Users\yukar\anaconda3\lib\site-packages\torch\_VF.py:25(__getattr__)
    10001    0.104    0.000    4.674    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\simulation.py:84(_report)
   150802    0.095    0.000    0.530    0.000 C:\Users\yukar\anaconda3\lib\site-packages\shapely\geometry\base.py:208(__del__)
     9642    0.092    0.000    0.092    0.000 {method 'write' of '_io.BufferedWriter' objects}
   250395    0.085    0.000    0.085    0.000 {built-in method torch._C._has_torch_function}
   120420    0.084    0.000    0.086    0.000 {built-in method builtins.getattr}
    62673    0.074    0.000    0.074    0.000 {method 'endswith' of 'str' objects}
    20002    0.073    0.000    0.135    0.000 C:\Users\yukar\PycharmProjects\CSCI596\lettuce\unit.py:71(convert_time_to_pu)
