Performance in MLUPS: 34.034884243070735
         8644602 function calls (8567192 primitive calls) in 49.039 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    66441    0.024    0.000    0.024    0.000 {method 'endswith' of 'str' objects}
        1    0.023    0.023    0.023    0.023 {built-in method torch._C._cuda_init}
   160000    0.023    0.000    0.023    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:25(no_stream_mask)
    20125    0.021    0.000    1.129    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:65(j)
   150801    0.020    0.000    0.020    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geos.py:573(errcheck_predicate)
        4    0.020    0.005    0.020    0.005 {built-in method matplotlib._image.resample}
      115    0.019    0.000    0.019    0.000 {built-in method io.open_code}
    10102    0.018    0.000    0.028    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:41(characteristic_pressure_lu)
    71348    0.017    0.000    0.017    0.000 {method 'join' of 'str' objects}
      512    0.015    0.000    0.017    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.014    0.014    0.014    0.014 {method 'quantize' of 'ImagingCore' objects}
      149    0.014    0.000    0.014    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      115    0.009    0.000    0.009    0.000 {built-in method marshal.loads}
        3    0.009    0.003    0.035    0.012 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1311(_findfont_cached)
      103    0.008    0.000    0.008    0.000 {method 'close' of '_io.BufferedWriter' objects}
    10001    0.008    0.000    2.884    0.000 E:\BaoFile\lettuce-master\lettuce\reporters.py:52(__call__)
    10102    0.007    0.000    0.007    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:37(characteristic_pressure_pu)
        1    0.006    0.006    0.006    0.006 {method 'encode' of 'ImagingEncoder' objects}
        1    0.006    0.006    0.006    0.006 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:100(_create_qApp)
    10000    0.006    0.000    0.006    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:39(Q)
     2283    0.006    0.000    0.007    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1188(score_stretch)
2624/2312    0.006    0.000    0.089    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     2283    0.005    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\font_manager.py:1130(score_family)
    10001    0.005    0.000    0.030    0.000 E:\BaoFile\lettuce-master\lettuce\reporters.py:135(__call__)
    20002    0.004    0.000    0.004    0.000 {built-in method torch._C._has_torch_function_variadic}
      108    0.004    0.000    0.004    0.000 {method 'get_glyph_name' of 'matplotlib.ft2font.FT2Font' objects}
      201    0.004    0.000    0.004    0.000 {method 'load_glyph' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.004    0.004    0.077    0.077 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:516(__init__)
  499/490    0.004    0.000    0.039    0.000 {built-in method builtins.__build_class__}
       34    0.004    0.000    0.004    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\_methods.py:106(_clip_dep_invoke_with_casting)
        1    0.004    0.004    0.004    0.004 {built-in method sizeHint}
    10177    0.004    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\__init__.py:653(__getitem__)
      606    0.004    0.000    2.715    0.004 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\vtk.py:572(appendData)
2970/1836    0.004    0.000    0.008    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:251(pdfRepr)
      647    0.004    0.000    0.004    0.000 {built-in method builtins.eval}
      729    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
       39    0.004    0.000    0.004    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      115    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      101    0.003    0.000    0.004    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:93(convert_pressure_to_pu)
    10000    0.003    0.000    0.003    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
     1181    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1212    0.003    0.000    0.009    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\numpy\core\_dtype.py:321(_name_get)
        2    0.003    0.001    0.010    0.005 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_pdf.py:581(_get_pdf_charprocs)
     1376    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
        4    0.003    0.001    0.003    0.001 {method 'take' of 'numpy.ndarray' objects}
     1111    0.003    0.000    0.004    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\xml.py:115(addAttributes)
      101    0.003    0.000    0.007    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:79(convert_density_lu_to_pressure_pu)
      448    0.003    0.000    0.008    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:1046(update)
5655/4485    0.003    0.000    0.005    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\artist.py:290(stale)
      102    0.002    0.000    0.003    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:57(convert_velocity_to_pu)
