Performance in MLUPS: 33.84619487429307
         8645271 function calls (8567861 primitive calls) in 49.407 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000   24.887    0.002   27.107    0.003 E:\BaoFile\lettuce-master\lettuce\boundary.py:116(__call__)
    80143    2.704    0.000    2.704    0.000 {built-in method einsum}
    20002    2.127    0.000    5.605    0.000 E:\BaoFile\lettuce-master\lettuce\equilibrium.py:15(__call__)
      606    1.918    0.003    2.716    0.004 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    10000    1.494    0.000    4.531    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:33(__call__)
   110000    1.458    0.000    1.458    0.000 {built-in method where}
    80000    1.310    0.000    1.310    0.000 {built-in method roll}
       16    1.294    0.081    1.319    0.082 {built-in method tensor}
   100109    0.925    0.000    0.925    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20002    0.827    0.000    0.827    0.000 {built-in method tensordot}
     1223    0.676    0.001    0.676    0.001 {built-in method _struct.pack}
    80000    0.655    0.000    2.128    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:42(_stream)
    40239    0.646    0.000    0.646    0.000 {built-in method sum}
    10000    0.625    0.000    0.795    0.000 E:\BaoFile\lettuce-master\lettuce\boundary.py:32(__call__)
    10000    0.597    0.000    4.707    0.000 E:\BaoFile\lettuce-master\lettuce\collision.py:22(__call__)
   150801    0.582    0.000    0.639    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
  1206416    0.566    0.000    0.566    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
150286/80143    0.427    0.000    3.268    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:159(einsum)
    70142    0.403    0.000    3.398    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:102(einsum)
    20125    0.299    0.000    1.846    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:69(u)
    10000    0.293    0.000    0.293    0.000 {built-in method frobenius_norm}
   150801    0.281    0.000    0.488    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\predicates.py:11(__call__)
   301604    0.256    0.000    0.556    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:191(_empty)
    10001    0.251    0.000    0.290    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:96(convert_pressure_to_lu)
    40228    0.223    0.000    0.868    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:61(rho)
   150801    0.220    0.000    1.432    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:38(__init__)
    10001    0.207    0.000    0.602    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:83(convert_pressure_pu_to_density_lu)
        1    0.205    0.205   44.555   44.555 E:\BaoFile\lettuce-master\lettuce\simulation.py:65(step)
    10001    0.202    0.000    0.211    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:60(convert_velocity_to_lu)
        1    0.164    0.164    2.673    2.673 E:\BaoFile\lettuce-master\flow2D.py:65(setPolygonObstacle)
    80343    0.128    0.000    0.128    0.000 {built-in method numpy.arange}
    10000    0.128    0.000    0.128    0.000 {built-in method ones_like}
