Performance in MLUPS: 3.841065842121432
         8644376 function calls (8566970 primitive calls) in 396.363 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    20002  121.280    0.006  155.728    0.008 E:\BaoFile\lettuce-master\lettuce\equilibrium.py:15(__call__)
    10000   65.394    0.007  237.546    0.024 E:\BaoFile\lettuce-master\lettuce\collision.py:22(__call__)
   110000   41.784    0.000   41.784    0.000 {built-in method where}
    80143   34.014    0.000   34.014    0.000 {built-in method einsum}
        1   32.695   32.695  392.603  392.603 E:\BaoFile\lettuce-master\lettuce\simulation.py:65(step)
    40239   17.888    0.000   17.888    0.000 {built-in method sum}
    10000   14.504    0.001   26.208    0.003 E:\BaoFile\lettuce-master\lettuce\boundary.py:32(__call__)
    20002    9.616    0.000    9.616    0.000 {built-in method tensordot}
   100109    9.390    0.000    9.390    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
    20125    8.430    0.000   29.682    0.001 E:\BaoFile\lettuce-master\lettuce\lattices.py:69(u)
    80000    7.367    0.000    7.367    0.000 {built-in method roll}
    10000    6.605    0.001    6.605    0.001 {built-in method ones_like}
    10000    5.123    0.001   36.622    0.004 E:\BaoFile\lettuce-master\lettuce\boundary.py:54(__call__)
    10000    3.155    0.000   24.878    0.002 E:\BaoFile\lettuce-master\lettuce\boundary.py:116(__call__)
      606    3.066    0.005    4.372    0.007 E:\Bao\Conda\envs\lettuce\lib\site-packages\pyevtk\evtk.py:74(writeArrayToFile)
    10000    2.517    0.000   17.449    0.002 E:\BaoFile\lettuce-master\lettuce\streaming.py:33(__call__)
    80000    1.168    0.000    8.812    0.000 E:\BaoFile\lettuce-master\lettuce\streaming.py:42(_stream)
     1225    1.137    0.001    1.137    0.001 {built-in method _struct.pack}
    70142    1.064    0.000   36.023    0.001 E:\BaoFile\lettuce-master\lettuce\lattices.py:102(einsum)
    10000    1.038    0.000    1.038    0.000 {built-in method frobenius_norm}
150286/80143    0.977    0.000   35.300    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:159(einsum)
   150801    0.646    0.000    0.708    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:244(geos_point_from_py)
    10001    0.628    0.000    0.752    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:96(convert_pressure_to_lu)
  1206416    0.613    0.000    0.613    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:245(__setattr__)
    40228    0.541    0.000   18.428    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:61(rho)
    20002    0.336    0.000   10.036    0.001 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:949(tensordot)
   150801    0.314    0.000    0.532    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\predicates.py:11(__call__)
   301604    0.288    0.000    0.614    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:191(_empty)
    10001    0.269    0.000    1.172    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:83(convert_pressure_pu_to_density_lu)
   150801    0.237    0.000    1.574    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\point.py:38(__init__)
    10001    0.230    0.000    0.241    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:60(convert_velocity_to_lu)
    80343    0.222    0.000    0.222    0.000 {built-in method numpy.arange}
   140372    0.184    0.000    0.184    0.000 E:\BaoFile\lettuce-master\lettuce\lattices.py:35(D)
        1    0.183    0.183    2.937    2.937 E:\BaoFile\lettuce-master\flow2D.py:65(setPolygonObstacle)
   100109    0.182    0.000    9.612    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_tensor.py:25(wrapped)
   664914    0.168    0.000    0.171    0.000 {built-in method builtins.isinstance}
1320692/1320449    0.151    0.000    0.151    0.000 {built-in method builtins.len}
   301602    0.120    0.000    0.170    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\topology.py:17(_validate)
    40220    0.120    0.000    0.120    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:33(characteristic_velocity_lu)
   150801    0.118    0.000    0.678    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:809(within)
   150802    0.115    0.000    0.521    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:240(_set_geom)
    11358    0.112    0.000    0.112    0.000 {built-in method numpy.array}
   140506    0.110    0.000    0.110    0.000 {method 'split' of 'str' objects}
   110145    0.108    0.000    0.190    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\_VF.py:25(__getattr__)
        1    0.098    0.098    0.102    0.102 E:\Bao\Conda\envs\lettuce\lib\site-packages\matplotlib\backends\backend_qt.py:635(__init__)
    10001    0.085    0.000    5.106    0.001 E:\BaoFile\lettuce-master\lettuce\simulation.py:84(_report)
   250395    0.085    0.000    0.085    0.000 {built-in method torch._C._has_torch_function}
   121964    0.085    0.000    0.087    0.000 {built-in method builtins.getattr}
   150802    0.082    0.000    0.502    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:208(__del__)
      786    0.081    0.000    0.081    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     9650    0.078    0.000    0.078    0.000 {method 'write' of '_io.BufferedWriter' objects}
    20002    0.077    0.000    0.135    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:71(convert_time_to_pu)
    10000    0.073    0.000    1.135    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\torch\functional.py:1315(norm)
    66441    0.071    0.000    0.071    0.000 {method 'endswith' of 'str' objects}
    20125    0.067    0.000   11.789    0.001 E:\BaoFile\lettuce-master\lettuce\lattices.py:65(j)
      102    0.059    0.001    0.059    0.001 E:\BaoFile\lettuce-master\lettuce\unit.py:57(convert_velocity_to_pu)
   603204    0.057    0.000    0.057    0.000 E:\Bao\Conda\envs\lettuce\lib\site-packages\shapely\geometry\base.py:228(_geom)
    10102    0.052    0.000    0.102    0.000 E:\BaoFile\lettuce-master\lettuce\unit.py:41(characteristic_pressure_lu)
      103    0.051    0.000    0.051    0.000 {built-in method io.open}
